((SensorMeasure11, (SensorMeasure11, (-inf, 47.215>) -> (SensorMeasure11, (47.22, 47.615>)) AND (SensorMeasure21, (SensorMeasure21, (23.428150000000002, inf)) -> (SensorMeasure21, (8.807649999999999, 23.428150000000002>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8148.595>) -> (SensorMeasure14, (-inf, 8148.595>)) AND (SensorMeasure11, (SensorMeasure11, (-inf, 47.215>) -> (SensorMeasure11, (47.22, 47.615>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8148.595>) -> (SensorMeasure14, (-inf, 8148.595>)) AND (SensorMeasure11, (SensorMeasure11, (-inf, 47.215>) -> (SensorMeasure11, (47.22, 47.615>)))
((SensorMeasure11, (SensorMeasure11, (-inf, 47.215>) -> (SensorMeasure11, (47.22, 47.615>)) AND (SensorMeasure21, (SensorMeasure21, (-inf, 8.807649999999999>) -> (SensorMeasure21, (8.807649999999999, 23.428150000000002>)))
((SensorMeasure8, (SensorMeasure8, (2318.875, 2388.025>) -> (SensorMeasure8, (-inf, 2212.005>)) AND (SensorMeasure3, (SensorMeasure3, (1357.115, 1477.9899999999998>) -> (SensorMeasure3, (1261.7399999999998, 1348.2849999999999>)) AND (SensorMeasure6, (SensorMeasure6, (9.015, 13.645>) -> (SensorMeasure6, (-inf, 9.015>)))
((SensorMeasure8, (SensorMeasure8, (-inf, 2212.005>) -> (SensorMeasure8, (-inf, 2212.005>)) AND (SensorMeasure3, (SensorMeasure3, (1348.2849999999999, 1355.385>) -> (SensorMeasure3, (1261.7399999999998, 1348.2849999999999>)) AND (SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (-inf, 9.015>)) AND (SensorMeasure2, (SensorMeasure2, (549.465, 604.52>) -> (SensorMeasure2, (536.5, 549.465>)))
((SensorMeasure8, (SensorMeasure8, (2388.025, inf)) -> (SensorMeasure8, (-inf, 2212.005>)) AND (SensorMeasure3, (SensorMeasure3, (1579.0549999999998, 1594.74>) -> (SensorMeasure3, (1261.7399999999998, 1348.2849999999999>)) AND (SensorMeasure6, (SensorMeasure6, (13.645, inf)) -> (SensorMeasure6, (-inf, 9.015>)))
((SensorMeasure8, (SensorMeasure8, (2318.875, 2388.025>) -> (SensorMeasure8, (-inf, 2212.005>)) AND (SensorMeasure3, (SensorMeasure3, (1479.5949999999998, 1579.0549999999998>) -> (SensorMeasure3, (1261.7399999999998, 1348.2849999999999>)) AND (SensorMeasure6, (SensorMeasure6, (9.015, 13.645>) -> (SensorMeasure6, (-inf, 9.015>)))
((SensorMeasure8, (SensorMeasure8, (2212.005, 2318.875>) -> (SensorMeasure8, (-inf, 2212.005>)) AND (SensorMeasure3, (SensorMeasure3, (1479.5949999999998, 1579.0549999999998>) -> (SensorMeasure3, (1261.7399999999998, 1348.2849999999999>)) AND (SensorMeasure6, (SensorMeasure6, (13.645, inf)) -> (SensorMeasure6, (-inf, 9.015>)))
((SensorMeasure3, (SensorMeasure3, (-inf, 1261.7399999999998>) -> (SensorMeasure3, (1261.7399999999998, 1348.2849999999999>)) AND (SensorMeasure6, (SensorMeasure6, (9.015, 13.645>) -> (SensorMeasure6, (-inf, 9.015>)) AND (SensorMeasure2, (SensorMeasure2, (-inf, 536.5>) -> (SensorMeasure2, (536.5, 549.465>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8148.595>) -> (SensorMeasure14, (-inf, 8148.595>)) AND (SensorMeasure11, (SensorMeasure11, (-inf, 47.215>) -> (SensorMeasure11, (47.22, 47.615>)))
((SensorMeasure11, (SensorMeasure11, (-inf, 47.215>) -> (SensorMeasure11, (47.22, 47.615>)) AND (SensorMeasure21, (SensorMeasure21, (-inf, 8.807649999999999>) -> (SensorMeasure21, (8.807649999999999, 23.428150000000002>)))
((SensorMeasure3, (SensorMeasure3, (1479.5949999999998, 1579.0549999999998>) -> (SensorMeasure3, (1261.7399999999998, 1348.2849999999999>)) AND (SensorMeasure6, (SensorMeasure6, (13.645, inf)) -> (SensorMeasure6, (-inf, 9.015>)))
((SensorMeasure8, (SensorMeasure8, (-inf, 2212.005>) -> (SensorMeasure8, (-inf, 2212.005>)) AND (SensorMeasure3, (SensorMeasure3, (1357.115, 1477.9899999999998>) -> (SensorMeasure3, (1261.7399999999998, 1348.2849999999999>)) AND (SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (-inf, 9.015>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8148.595>) -> (SensorMeasure14, (-inf, 8148.595>)) AND (SensorMeasure11, (SensorMeasure11, (-inf, 47.215>) -> (SensorMeasure11, (47.22, 47.615>)))
