((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (36.925, 39.925>) -> (age, (20.055, 21.335>)))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (16.3, 18.625>) -> (age, (54.615, inf))))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (36.925, 39.925>) -> (age, (20.055, 21.335>)))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (20.055, 21.335>) -> (age, (54.615, inf))))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (49.09, 54.615>) -> (age, (20.055, 21.335>)))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (36.925, 39.925>) -> (age, (20.055, 21.335>)))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (44.525, 49.09>) -> (age, (20.055, 21.335>)))
((age, (age, (36.925, 39.925>) -> (age, (20.055, 21.335>)))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (21.335, 30.810000000000002>) -> (age, (54.615, inf))))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (21.335, 30.810000000000002>) -> (age, (54.615, inf))))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (-inf, 16.3>) -> (age, (54.615, inf))))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (21.335, 30.810000000000002>) -> (age, (54.615, inf))))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (16.3, 18.625>) -> (age, (54.615, inf))))
((age, (age, (36.925, 39.925>) -> (age, (20.055, 21.335>)))
((age, (age, (54.615, inf)) -> (age, (20.055, 21.335>)))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (18.625, 20.055>) -> (age, (54.615, inf))))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (54.615, inf)) -> (age, (20.055, 21.335>)))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (54.615, inf)) -> (age, (20.055, 21.335>)))
((age, (age, (21.335, 30.810000000000002>) -> (age, (54.615, inf))))
((age, (age, (49.09, 54.615>) -> (age, (20.055, 21.335>)))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (21.335, 30.810000000000002>) -> (age, (54.615, inf))))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (49.09, 54.615>) -> (age, (20.055, 21.335>)))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (31.965, 33.760000000000005>) -> (age, (20.055, 21.335>)))
((age, (age, (36.925, 39.925>) -> (age, (20.055, 21.335>)))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (21.335, 30.810000000000002>) -> (age, (54.615, inf))))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (18.625, 20.055>) -> (age, (54.615, inf))))
((trtgiven, (trtgiven, {RT}) -> (trtgiven, {RT})) AND (age, (age, (54.615, inf)) -> (age, (20.055, 21.335>)))
((age, (age, (21.335, 30.810000000000002>) -> (age, (20.055, 21.335>)))
