((age, (age, (58.5, 72.5>) -> (age, (58.5, 72.5>)) AND (estrec, (estrec, (-inf, 4.5>) -> (estrec, (265.0, 545.5>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 13.0>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (10.5, 13.0>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 13.0>)))
((progrec, (progrec, (11.5, 21.5>) -> (progrec, (103.5, 398.0>)) AND (tsize, (tsize, (49.5, 59.0>) -> (tsize, (10.5, 19.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 13.0>)))
((age, (age, (41.0, 58.5>) -> (age, (58.5, 72.5>)) AND (estrec, (estrec, (6.5, 62.5>) -> (estrec, (265.0, 545.5>)))
((progrec, (progrec, (-inf, 0.5>) -> (progrec, (103.5, 398.0>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (10.5, 19.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 13.0>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (10.5, 19.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (10.5, 19.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (4.5, 10.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
((progrec, (progrec, (-inf, 0.5>) -> (progrec, (103.5, 398.0>)) AND (tsize, (tsize, (19.5, 22.5>) -> (tsize, (10.5, 19.5>)))
((age, (age, (58.5, 72.5>) -> (age, (58.5, 72.5>)) AND (estrec, (estrec, (-inf, 4.5>) -> (estrec, (265.0, 545.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (10.5, 19.5>) -> (tsize, (22.5, 49.5>)))
((progrec, (progrec, (103.5, 398.0>) -> (progrec, (103.5, 398.0>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (10.5, 19.5>)))
