((pnodes, (pnodes, (4.5, 10.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (10.5, 19.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 13.0>)) AND (tsize, (tsize, (19.5, 22.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (10.5, 13.0>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (19.5, 22.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (4.5, 10.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (49.5, 59.0>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (10.5, 19.5>) -> (tsize, (22.5, 49.5>)))
((progrec, (progrec, (24.5, 41.5>) -> (progrec, (103.5, 398.0>)) AND (tsize, (tsize, (59.0, 75.0>) -> (tsize, (10.5, 19.5>)))
((pnodes, (pnodes, (3.5, 4.5>) -> (pnodes, (13.0, 36.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (13.0, 36.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (10.5, 19.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (4.5, 10.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (4.5, 10.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (19.5, 22.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (3.5, 4.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (10.5, 19.5>) -> (tsize, (22.5, 49.5>)))
((pnodes, (pnodes, (4.5, 10.5>) -> (pnodes, (13.0, 36.5>)) AND (tsize, (tsize, (22.5, 49.5>) -> (tsize, (22.5, 49.5>)))
