((agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((agepill, (agepill, (60.5, 66.5>) -> (agepill, (42.5, 46.5>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((agepill, (agepill, (66.5, inf)) -> (agepill, (42.5, 46.5>)))
((agepill, (agepill, (53.5, 56.5>) -> (agepill, (42.5, 46.5>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (42.5, 46.5>)) AND (dysp1, (dysp1, (1.5, inf)) -> (dysp1, (-inf, 1.5>)))
